datetime,zone_id,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
2004-01-01,5,6.829,6.596,6.525,6.654,6.977,7.33,7.795,8.303,9.19,9.516,9.414,8.915,8.318,7.432,6.858,6.635,7.22,8.658,9.179,9.105,8.771,8.222,7.305,6.336
2004-01-02,5,5.903,5.678,5.719,5.735,5.961,6.48,7.069,7.713,8.1,8.143,7.998,7.648,7.116,6.802,6.656,6.245,6.617,8.193,8.713,8.611,8.382,7.853,7.16,6.324
2004-01-03,5,5.65,5.353,5.287,5.246,5.317,5.601,6.095,6.966,7.903,7.941,7.716,7.155,6.607,6.12,5.667,5.576,6.139,7.206,7.681,7.366,6.938,6.395,5.7,4.92
2004-01-04,5,4.155,3.835,3.697,3.663,3.632,3.815,4.16,5.026,6.199,6.851,6.582,6.302,6.108,5.909,5.75,5.84,6.417,7.61,8.045,7.699,7.245,6.265,5.341,4.538
2004-01-05,5,4.082,3.917,4.004,4.286,4.76,5.72,7.214,7.198,6.796,6.832,6.895,6.746,6.713,6.557,6.484,6.596,7.365,8.502,9.053,9.053,8.703,7.992,7.029,6.316
2004-01-06,5,5.783,5.632,5.727,5.949,6.492,7.675,9.1,8.992,7.801,8.031,7.97,7.686,7.653,7.031,7.047,7.214,8.489,10.642,11.775,11.927,11.693,10.841,9.874,9.116
2004-01-07,5,8.842,8.82,9.018,9.426,10.208,11.447,12.948,12.832,11.272,10.633,9.688,8.911,8.658,8.206,7.834,8.045,9.143,10.945,11.324,11.627,12.443,11.494,10.285,9.426
2004-01-08,5,9.252,9.452,9.812,10.211,11.142,12.392,13.674,12.997,12.342,11.899,10.146,9.557,9.107,8.867,8.746,8.902,9.8,10.888,11.496,11.427,10.959,9.882,8.836,7.834
2004-01-09,5,7.3,7.253,7.303,7.754,8.368,9.393,10.075,10.319,10.138,10.094,9.99,9.82,9.626,9.083,9.037,9.097,9.655,11.121,11.691,11.683,11.43,11.225,10.612,10.299
2004-01-10,5,10.189,10.349,10.735,11.217,11.625,12.238,13.01,14.156,14.222,13.417,14.104,12.904,11.786,11.168,10.784,10.638,11.301,12.939,13.213,13.32,14.451,14.041,13.249,12.695
2004-01-11,5,12.646,12.827,12.962,13.307,13.715,14.137,14.854,16.238,16.545,15.181,13.657,12.512,11.754,10.649,10.121,10.049,11.176,12.118,12.643,12.128,11.811,10.88,9.671,8.789
2004-01-12,5,8.319,8.157,8.322,8.67,9.557,10.705,12.335,12.447,11.23,9.797,8.588,7.768,7.021,6.366,6.246,6.533,7.297,8.726,9.601,9.704,9.196,8.444,7.443,6.601
2004-01-13,5,6.204,6.281,6.539,7.034,7.741,8.929,10.261,10.348,8.952,7.902,7.212,6.506,6.087,5.719,5.494,5.787,6.656,8.285,9.855,10.115,9.878,9.105,8.118,7.338
2004-01-14,5,7.037,7.095,7.243,7.552,8.307,9.702,11.219,11.453,10.346,9.478,9.181,8.703,8.472,7.925,7.643,7.952,8.973,10.305,11.132,11.176,10.729,9.743,8.588,7.71
2004-01-15,5,7.191,7.236,7.199,7.453,7.984,8.966,10.327,10.553,9.848,9.373,8.571,7.995,7.65,7.277,7.214,7.606,9.001,10.428,11.381,11.612,11.639,10.885,9.957,9.253
2004-01-16,5,9.05,9.1,9.311,9.752,10.449,11.864,13.217,13.143,12.591,11.264,10.364,9.631,8.946,8.464,8.118,8.091,9.033,10.516,11.356,11.482,11.091,10.872,10.234,9.535
2004-01-17,5,9.185,9.094,9.162,9.395,9.752,10.171,11.041,11.978,12.189,11.751,10.986,10.181,9.59,9.154,8.752,8.896,9.516,10.206,10.428,9.99,9.505,8.954,8.436,7.681
2004-01-18,5,7.248,7.146,7.069,7.121,7.214,7.414,7.741,8.667,9.989,10.719,10.288,10.034,9.94,9.686,9.414,9.482,9.792,10.348,10.723,10.582,10.091,9.434,8.755,8.073
2004-01-19,5,7.621,7.587,7.858,8.157,8.663,9.338,10.343,11.12,11.19,10.726,10.233,9.62,9.022,8.521,8.244,8.273,9.34,11.269,12.408,12.668,11.983,11.288,10.427,9.511
2004-01-20,5,9.206,9.344,9.441,9.652,10.19,11.315,12.696,11.962,11.723,10.549,9.648,9.047,8.529,8.215,7.962,8.278,9.256,11.093,12.315,12.71,12.165,11.52,10.59,9.864
2004-01-21,5,9.677,9.689,10.053,10.461,11.351,12.455,13.917,13.254,12.638,11.11,9.894,9.508,9.288,8.881,8.87,9.193,9.869,11.146,12.365,12.564,12.088,11.427,10.548,9.863
2004-01-22,5,9.73,9.831,9.677,9.971,10.592,11.57,12.805,12.521,10.959,9.522,9.036,8.666,8.144,7.592,7.319,7.064,7.87,9.431,10.36,10.686,10.409,9.793,9.014,8.437
2004-01-23,5,8.226,8.464,8.768,9.25,10.127,11.417,12.965,13.176,11.954,10.721,9.883,9.212,8.782,8.277,7.97,8.259,8.998,10.497,11.326,11.29,11.063,10.403,9.622,9.104
2004-01-24,5,8.755,8.629,8.645,8.711,8.899,9.307,9.924,11.085,11.979,11.863,11.145,10.058,10.234,9.956,9.891,9.946,10.06,11.027,12.016,12.025,11.876,11.559,10.989,10.389
2004-01-25,5,9.99,10.001,10.152,10.45,10.86,11.321,12.129,13.265,14.402,14.44,13.703,13.175,12.655,12.405,12.192,12.068,12.614,13.328,13.277,13.228,14.038,12.672,11.62,10.945
2004-01-26,5,10.379,10.359,10.367,10.433,10.667,11.294,11.696,12.12,13.147,13.4,13.451,12.948,12.63,12.233,12.05,12.225,12.506,13.258,13.066,12.655,13.548,11.803,10.559,9.767
2004-01-27,5,9.368,9.376,9.338,9.538,9.826,10.516,10.879,11.463,11.767,11.748,11.705,11.293,10.915,10.701,10.619,10.633,11.264,11.912,12.291,11.817,11.058,10.666,9.702,8.915
2004-01-28,5,8.522,8.633,8.714,8.993,9.507,10.23,11.2,11.772,11.548,10.614,10.056,9.281,8.968,8.338,7.921,8.154,8.796,10.74,11.808,11.814,11.162,10.628,9.666,8.993
2004-01-29,5,8.724,8.885,9.163,9.417,10.242,11.181,12.099,12.846,12.227,10.579,9.266,8.325,7.758,7.358,7.173,7.184,7.736,9.329,10.447,10.442,10.02,9.488,8.555,7.647
2004-01-30,5,7.188,7.149,7.358,7.758,8.31,9.168,9.943,10.956,10.97,10.341,9.42,8.79,8.661,8.001,7.744,7.985,8.831,10.267,11.494,11.636,11.45,11.264,10.82,10.234
2004-01-31,5,10.015,10.146,10.338,10.589,11.156,11.668,12.488,13.854,13.698,12.58,11.564,10.567,9.825,9.315,8.754,8.615,9.025,10.124,11.102,11.31,11.379,11.16,10.735,10.357
2004-02-01,5,10.225,10.283,10.715,10.984,11.477,11.981,12.706,14.027,14.301,13.139,11.551,10.496,9.971,9.182,8.752,8.65,9.102,10.217,10.951,10.899,10.949,10.663,10.145,9.636
2004-02-02,5,9.428,9.475,9.959,10.411,11.356,12.477,13.983,13.792,13.136,11.022,9.338,8.42,7.714,7.354,7.193,7.396,8.132,9.595,10.973,11.083,10.567,9.716,8.811,8.07
2004-02-03,5,7.741,7.568,7.588,7.823,8.324,9.078,9.737,10.053,10.263,10.595,10.466,10.203,9.631,8.919,8.155,8.055,8.267,9.73,10.834,10.874,10.231,9.545,8.429,7.492
2004-02-04,5,7.053,6.973,6.941,7.239,7.889,8.744,9.647,10.141,9.538,8.08,7.143,6.75,6.347,5.96,5.853,5.886,6.65,8.42,9.979,10.212,10.015,9.504,8.877,8.233
2004-02-05,5,7.951,8.146,8.453,9.004,9.822,10.904,12.439,12.46,10.869,10.037,9.541,8.755,8.281,8.226,8.11,8.409,9.13,10.146,11.044,11.162,10.508,9.612,8.911,8.08
2004-02-06,5,7.683,7.562,7.648,7.684,8.187,8.834,9.344,9.949,10.055,9.708,9.804,9.935,9.948,10.209,9.825,9.601,9.356,10.329,10.759,10.403,9.748,9.074,8.847,8.136
