,datetime,zone_id,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
0,2004-01-01,1.0,16.853,16.45,16.517,16.873,17.064,17.727,18.574,19.355,19.534,18.611,17.666,16.374,15.106,14.455,13.518,13.138,14.13,16.809,18.15,18.235,17.925,16.904,16.162,14.75
1,2004-01-02,1.0,14.155,14.038,14.019,14.489,14.92,16.072,17.8,19.089,19.577,20.047,19.77,18.564,18.137,17.046,16.127,15.448,15.839,17.727,18.895,18.65,18.443,17.58,16.467,15.258
2,2004-01-03,1.0,14.439,14.272,14.109,14.081,14.775,15.491,16.536,18.197,19.109,18.012,17.2,15.95,14.978,14.162,13.507,13.414,13.826,15.825,16.996,16.394,15.406,14.278,13.315,12.424
3,2004-01-04,1.0,11.273,10.415,9.943,9.859,9.881,10.248,11.016,12.78,15.108,15.68,15.28,14.605,14.689,14.642,14.207,13.614,14.162,16.237,17.43,17.218,16.633,15.238,13.58,11.727
4,2004-01-05,1.0,10.75,10.321,10.107,10.065,10.419,12.101,14.847,15.259,14.045,14.009,14.332,13.908,13.981,13.865,13.845,14.35,15.501,17.307,18.786,19.089,19.192,18.416,17.006,16.018
5,2004-01-06,1.0,15.742,15.682,16.132,16.761,17.909,20.234,23.948,24.789,23.024,20.613,19.07,17.447,17.556,18.506,18.762,19.162,21.509,25.314,28.06,28.768,28.919,28.653,27.406,26.507
6,2004-01-07,1.0,26.014,26.447,27.286,27.923,29.13,31.503,34.9,35.201,32.405,29.694,27.298,25.243,23.481,22.095,20.617,21.013,23.676,27.329,29.685,29.838,29.806,28.704,27.069,25.708
7,2004-01-08,1.0,25.104,25.122,25.464,25.715,26.219,28.552,31.815,32.289,28.968,25.705,23.297,23.09,23.244,23.081,22.421,22.883,24.436,26.555,27.394,27.486,26.89,25.529,23.869,22.278
8,2004-01-09,1.0,21.175,21.056,21.241,22.062,23.026,25.61,27.22,27.57,27.422,26.881,26.574,25.648,24.98,24.682,24.955,24.932,25.497,27.668,28.784,28.113,27.311,26.327,24.967,23.824
9,2004-01-10,1.0,23.405,23.507,24.067,24.786,25.418,26.631,28.56,30.242,32.387,31.926,29.308,27.017,24.909,23.193,22.257,22.457,23.909,27.515,29.526,30.073,30.858,30.698,30.208,30.056
10,2004-01-11,1.0,30.404,31.248,32.423,33.58,34.564,36.114,37.525,39.584,39.231,34.593,30.121,26.561,23.855,22.215,21.345,21.376,22.021,25.327,27.099,27.045,26.942,25.751,24.813,23.683
11,2004-01-12,1.0,22.937,22.999,22.895,23.236,23.658,25.624,28.145,28.175,24.992,21.752,19.509,17.4,16.29,15.236,14.436,14.126,15.495,18.489,20.561,21.313,21.503,20.629,18.797,17.698
12,2004-01-13,1.0,17.264,17.243,17.489,17.879,18.426,20.744,24.042,24.794,22.497,19.879,17.478,15.949,14.929,14.631,13.919,13.972,14.979,18.117,20.792,21.363,21.464,20.611,19.135,18.118
13,2004-01-14,1.0,17.783,18.038,18.682,19.462,21.065,23.642,27.9,28.745,26.178,22.731,20.042,17.946,16.515,15.786,15.019,15.349,17.316,20.734,22.894,23.031,22.949,22.076,20.389,18.333
14,2004-01-15,1.0,17.139,16.644,16.204,16.466,17.334,19.731,23.357,24.458,22.518,21.217,20.346,19.135,17.928,17.161,16.517,17.013,18.883,22.288,24.964,25.613,26.114,25.584,24.053,22.958
15,2004-01-16,1.0,22.681,22.975,23.559,24.192,25.637,27.554,31.073,31.962,29.02,26.546,23.667,22.016,21.174,19.152,18.015,17.946,19.696,22.812,24.843,25.042,25.036,24.419,23.744,23.057
16,2004-01-17,1.0,22.292,22.323,22.478,23.042,23.347,23.842,25.013,26.703,27.34,25.872,24.011,21.688,20.072,19.323,19.599,20.013,20.765,21.958,22.527,22.225,21.671,20.271,19.215,18.218
17,2004-01-18,1.0,17.446,17.085,16.853,17.016,16.781,16.975,17.872,19.875,21.795,22.607,21.962,21.227,20.089,19.468,19.158,18.821,19.007,20.435,21.937,22.022,21.956,21.109,20.77,19.869
18,2004-01-19,1.0,19.245,19.527,20.073,20.864,22.124,24.085,26.377,27.862,27.842,26.335,24.773,23.525,22.02,20.717,19.99,20.519,21.669,25.628,28.753,30.086,30.222,29.701,28.403,26.964
19,2004-01-20,1.0,26.521,26.851,27.398,28.007,29.211,31.858,34.631,35.052,31.483,28.058,26.009,23.811,21.831,20.534,20.349,20.844,22.251,25.392,28.411,29.13,29.458,28.556,27.282,25.883
20,2004-01-21,1.0,25.282,25.317,25.516,25.855,26.912,29.155,32.942,33.47,30.67,29.323,28.153,27.164,26.216,24.774,23.227,21.458,21.949,25.327,28.061,28.464,28.434,27.586,25.937,24.564
21,2004-01-22,1.0,24.129,24.366,24.805,25.171,25.83,27.714,30.798,30.376,26.208,22.605,20.17,18.522,16.924,16.993,17.268,17.985,18.805,21.54,23.891,24.434,24.473,23.842,17.48,16.273
22,2004-01-23,1.0,24.281,22.358,24.547,25.616,26.91,28.976,32.875,33.467,30.59,28.172,25.935,23.526,21.708,20.296,19.565,19.472,21.133,23.621,25.432,25.51,25.175,24.033,22.69,21.594
23,2004-01-24,1.0,20.787,20.836,21.184,21.166,21.44,22.006,23.418,24.95,25.132,23.27,21.407,20.2,19.563,18.314,17.809,17.662,18.039,20.305,22.449,22.909,22.977,22.759,22.652,21.832
24,2004-01-25,1.0,22.069,22.236,23.211,23.581,24.469,25.694,26.705,28.797,31.518,32.346,32.397,32.792,33.251,33.333,32.907,33.128,33.535,34.977,35.476,35.306,34.154,32.955,31.286,30.325
25,2004-01-26,1.0,29.921,29.954,30.398,30.821,31.144,31.969,33.12,34.409,35.059,34.92,34.599,33.546,32.821,31.306,30.768,30.549,30.869,32.066,31.941,30.786,29.577,28.187,26.454,25.513
26,2004-01-27,1.0,24.8,24.637,24.887,24.714,25.426,26.12,27.269,28.224,28.362,28.046,27.827,27.177,26.634,26.293,25.604,25.439,26.266,27.896,28.768,28.22,27.686,26.485,25.474,24.37
27,2004-01-28,1.0,24.246,24.903,25.599,26.22,27.162,29.358,31.611,33.018,31.923,29.348,27.809,26.171,24.643,23.258,22.577,22.096,22.867,25.737,28.269,28.224,27.866,26.833,25.297,24.314
28,2004-01-29,1.0,23.687,23.477,23.531,23.809,24.411,25.88,27.383,28.239,26.409,24.147,22.157,20.462,19.313,18.165,17.072,17.149,18.219,21.105,23.555,24.155,24.117,23.399,21.737,20.49
29,2004-01-30,1.0,19.696,19.593,19.898,20.22,21.049,22.845,25.106,25.749,24.397,21.677,20.366,19.693,19.057,18.415,18.56,20.459,22.737,25.064,27.678,28.121,28.645,28.492,28.191,27.794
30,2004-01-31,1.0,28.036,29.051,30.187,31.347,32.771,34.436,36.59,38.438,37.593,34.911,31.765,28.705,25.726,23.238,21.315,20.591,21.232,23.752,26.536,27.505,27.57,27.44,26.35,25.912
31,2004-02-01,1.0,25.494,25.876,26.405,27.203,27.86,28.936,30.728,33.111,33.359,29.647,26.262,23.487,21.279,19.11,17.549,17.191,17.959,20.13,23.096,23.714,24.145,24.198,24.04,23.758
32,2004-02-02,1.0,23.19,23.522,24.295,25.337,26.719,29.597,33.71,34.609,31.156,28.567,25.315,21.627,19.476,18.151,17.876,18.819,20.317,22.815,24.921,25.381,24.386,23.879,22.422,20.843
33,2004-02-03,1.0,19.75,19.827,20.594,21.347,22.287,23.881,25.264,26.092,25.879,25.458,24.617,23.017,21.505,18.849,16.523,16.18,16.746,18.941,22.039,22.985,22.681,22.372,20.988,19.473
34,2004-02-04,1.0,18.719,18.53,18.859,19.201,20.156,22.723,26.39,27.117,23.883,20.921,18.831,17.555,15.977,14.921,14.205,14.046,15.508,18.281,21.619,23.001,23.481,23.263,22.32,21.368
35,2004-02-05,1.0,21.081,21.389,21.982,22.571,23.454,25.634,28.79,29.492,27.405,25.859,23.708,21.859,20.638,20.578,21.098,22.052,23.878,25.969,27.065,26.958,26.36,25.135,23.472,22.041
36,2004-02-06,1.0,21.906,21.923,22.069,22.425,22.794,24.017,26.253,26.735,26.579,26.534,27.031,26.317,25.57,25.159,24.599,25.082,25.485,25.805,26.141,25.266,24.085,22.684,21.351,20.214
37,2004-02-07,1.0,19.276,18.753,18.892,18.978,19.531,19.984,21.413,23.34,24.147,24.257,22.617,20.919,19.862,19.625,20.188,20.694,21.649,23.412,25.323,25.502,25.151,24.471,24.259,23.715
38,2004-02-08,1.0,22.82,22.548,22.816,22.901,23.804,24.718,25.734,27.8,28.119,26.321,23.741,21.677,20.28,18.685,17.17,16.756,17.034,19.159,23.049,24.68,24.969,24.135,23.089,22.223
39,2004-02-09,1.0,21.674,21.665,22.213,22.977,24.149,26.638,29.491,29.875,27.13,25.012,23.398,21.61,19.924,19.219,18.491,19.221,20.29,21.928,24.03,24.292,23.861,22.773,21.14,19.762
40,2004-02-10,1.0,19.298,19.14,19.42,19.447,20.062,22.123,24.813,25.067,22.724,21.175,19.361,17.916,16.274,15.44,15.017,15.628,16.64,18.723,21.435,22.131,21.919,21.215,19.612,18.281
