,datetime,zone_id,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
29700,2004-01-01,19.0,82.298,79.827,77.728,76.433,78.172,77.871,82.895,87.599,90.546,86.826,80.737,75.441,69.754,66.518,63.143,62.32,66.139,79.469,85.927,86.44,85.412,81.43,79.457,72.338
29701,2004-01-02,19.0,66.513,63.491,61.062,61.626,66.043,68.641,77.12,80.913,82.937,84.592,84.919,81.986,77.632,72.713,69.288,67.481,67.626,79.139,85.598,84.557,82.577,79.377,79.214,72.478
29702,2004-01-03,19.0,67.455,64.642,63.547,63.253,64.992,66.058,71.409,75.757,79.786,78.005,71.659,65.325,60.318,58.102,55.673,55.046,57.474,67.389,74.432,72.237,69.602,65.083,63.989,56.935
29703,2004-01-04,19.0,50.41,46.851,44.751,43.417,44.042,43.337,46.856,54.429,64.51,68.087,64.518,60.763,59.963,59.106,57.798,57.084,58.805,69.939,76.05,74.469,71.235,64.664,59.476,50.437
29704,2004-01-05,19.0,44.569,41.855,40.772,40.967,43.386,50.852,66.791,67.676,61.218,59.763,59.18,58.484,57.667,57.521,57.248,56.531,63.038,75.854,80.883,80.722,77.007,71.782,68.149,61.201
29705,2004-01-06,19.0,57.191,57.018,59.092,62.98,69.389,80.222,101.23,104.203,94.223,86.805,81.056,75.971,71.852,69.883,69.397,73.79,84.058,102.817,113.67,116.919,117.103,112.686,111.593,104.925
29706,2004-01-07,19.0,102.615,103.102,105.337,109.035,114.395,119.683,136.642,133.703,122.966,115.804,107.561,99.504,93.045,89.546,87.396,90.962,103.804,118.174,125.543,125.365,125.202,119.347,116.975,110.121
29707,2004-01-08,19.0,106.257,103.632,102.924,103.285,106.073,113.685,130.856,129.546,118.205,108.239,98.379,92.446,89.283,89.43,89.938,92.75,100.097,113.51,121.001,121.845,120.248,112.915,109.23,100.537
29708,2004-01-09,19.0,95.86,94.011,92.69,94.127,97.536,101.714,112.339,112.026,111.257,110.609,109.588,107.222,104.676,103.674,102.987,104.543,108.041,118.167,123.074,120.752,116.527,111.639,112.416,107.099
29709,2004-01-10,19.0,104.506,105.512,107.247,111.013,116.396,116.926,125.247,135.21,142.765,145.088,137.617,128.682,121.69,113.873,108.179,108.866,116.386,131.41,135.35,136.408,137.755,140.632,146.671,144.259
29710,2004-01-11,19.0,143.876,145.786,148.556,150.688,155.77,151.96,158.902,166.935,167.036,151.314,134.561,127.068,117.862,110.223,104.832,103.648,109.526,122.501,129.534,128.597,127.232,121.969,119.182,110.926
29711,2004-01-12,19.0,103.921,102.35,104.325,104.32,107.094,110.913,125.097,124.583,113.282,101.322,91.634,84.63,77.665,73.615,69.894,69.012,72.776,87.074,99.769,100.656,99.68,96.013,93.254,86.964
29712,2004-01-13,19.0,84.362,84.178,86.316,89.449,94.289,100.981,118.931,117.66,104.494,93.067,83.705,75.929,70.374,66.741,63.748,64.46,70.366,85.151,96.215,98.002,96.366,92.67,89.834,84.419
29713,2004-01-14,19.0,82.441,84.843,86.314,90.616,97.523,106.997,127.139,127.782,116.209,104.269,95.035,87.573,80.905,76.358,73.971,76.054,84.179,100.293,111.548,113.324,112.126,105.743,101.087,90.525
29714,2004-01-15,19.0,84.141,81.768,80.264,82.07,85.573,91.171,106.513,106.389,97.3,90.522,84.884,81.107,76.31,74.104,72.168,73.386,80.95,96.763,108.956,111.652,111.711,108.17,105.47,98.136
29715,2004-01-16,19.0,95.63,95.918,98.062,101.366,107.19,114.269,131.535,132.392,121.948,113.451,103.523,96.886,91.903,90.356,88.036,86.365,90.868,105.534,115.682,117.196,116.822,114.15,117.197,112.738
29716,2004-01-17,19.0,110.932,110.671,112.264,114.77,117.821,116.041,122.917,130.959,131.253,121.693,111.37,100.928,93.41,88.798,85.68,86.972,92.27,100.033,102.54,99.591,96.645,93.023,92.658,86.933
