datetime,zone_id,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
2004-01-01,20,79.83,77.429,75.558,75.709,77.475,77.854,82.571,85.996,91.065,94.689,95.04,92.978,87.86,82.925,78.584,77.527,81.899,93.282,95.277,92.397,90.04,85.177,81.676,75.314
2004-01-02,20,71.56,68.959,67.99,68.335,70.349,74.183,82.256,87.392,89.89,90.651,90.764,89.494,86.272,83.289,78.85,76.054,77.075,87.835,91.773,89.731,87.168,83.197,81.111,74.229
2004-01-03,20,68.593,65.101,63.455,63.204,65.326,66.637,70.522,75.872,80.912,82.173,81.605,78.835,76.297,73.714,72.421,72.876,75.813,83.794,86.427,83.654,80.225,75.89,73.774,67.43
2004-01-04,20,61.612,58.36,56.756,56.102,56.798,57.095,60.892,67.13,74.971,76.448,74.787,73.162,73.297,72.841,72.375,71.782,75.228,84.54,86.587,84.95,81.403,75.835,70.96,63.402
2004-01-05,20,58.361,56.728,56.488,57.276,60.227,67.197,82.579,88.922,85.626,85.343,85.314,84.796,83.943,82.685,81.242,81.499,86.034,97.637,103.328,103.483,101.189,96.348,92.279,85.31
2004-01-06,20,79.58,78.759,79.236,80.542,84.238,90.638,107.024,112.063,106.579,104.777,102.928,100.832,99.163,96.092,95.27,96.17,104.71,121.764,129.41,129.458,127.507,122.9,118.987,111.104
2004-01-07,20,107.468,106.793,107.102,108.896,113.06,118.556,133.744,134.099,127.747,121.926,115.975,110.001,106.225,103.647,101.652,101.473,108.753,123.542,125.734,125.357,130.252,122.639,117.286,110.327
2004-01-08,20,106.485,105.205,104.358,105.74,109.171,114.285,129.869,130.649,125.877,119.102,113.683,111.838,108.955,106.854,105.328,105.627,111.314,122.242,125.983,124.159,120.351,113.307,108.352,99.551
2004-01-09,20,94.318,92.405,91.739,92.267,94.898,98.856,109.697,113.473,113.255,112.889,111.219,109.729,106.575,103.918,103.03,102.188,105.328,119.169,120.369,117.33,115.261,111.969,111.865,107.152
2004-01-10,20,104.197,103.248,104.133,106.193,110.035,110.627,117.099,124.355,127.532,123.731,127.171,119.092,112.662,107.926,104.965,105.169,110.566,122.93,125.939,125.777,131.793,127.272,128.058,124.018
2004-01-11,20,120.315,120.116,120.845,121.955,123.983,122.847,128.095,134.514,134.46,127.744,121.539,112.162,106.681,101.456,98.634,101.246,105.647,114.17,117.096,115.325,113.308,108.021,103.709,96.693
2004-01-12,20,92.167,90.22,89.379,89.84,92.273,97.649,112.22,116.982,109.209,101.003,95.737,92.1,88.665,86.159,82.768,81.722,91.075,105.156,110.414,109.899,106.363,100.164,94.704,86.754
2004-01-13,20,82.073,82.242,82.155,83.796,87.489,93.258,109.314,114.727,105.982,98.938,94.03,90.979,87.798,86.53,84.99,85.988,91.581,104.76,112.715,112.35,111.155,106.93,102.148,94.297
2004-01-14,20,90.155,89.663,90.0,91.727,96.456,103.122,121.428,127.09,117.317,109.118,103.572,98.913,95.023,92.859,91.968,93.299,98.936,111.976,116.661,115.095,111.838,104.798,99.356,90.515
2004-01-15,20,84.584,82.579,81.244,82.282,85.766,91.606,107.152,113.217,108.074,105.403,101.33,97.917,94.292,93.652,92.696,93.623,100.383,115.499,122.37,123.57,122.115,116.429,113.551,106.86
2004-01-16,20,102.458,102.357,102.231,104.407,108.458,113.243,128.862,131.373,127.834,118.419,112.687,107.157,100.884,96.771,94.451,93.823,97.438,109.883,115.965,114.744,113.323,110.835,111.268,106.587
2004-01-17,20,102.054,100.766,100.658,102.228,104.764,104.665,109.057,113.991,118.127,117.581,113.355,109.538,102.793,99.232,97.231,96.508,100.229,106.374,106.303,103.317,99.094,96.058,94.137,88.634
2004-01-18,20,84.14,82.072,80.874,79.973,80.707,79.063,82.463,89.229,96.696,98.635,94.569,90.8,88.444,86.562,87.008,87.094,90.069,97.474,102.523,102.963,101.443,98.302,96.149,89.948
2004-01-19,20,86.884,87.022,88.724,91.413,95.184,101.041,116.246,124.749,122.96,117.738,113.922,109.931,105.338,102.32,100.099,100.89,107.761,124.095,131.675,131.229,128.242,123.394,120.186,112.792
2004-01-20,20,108.283,107.805,107.917,109.594,113.292,118.354,130.678,132.162,130.104,120.963,115.341,110.41,106.244,103.134,101.966,102.566,108.407,123.069,131.659,131.87,130.085,125.953,122.594,115.18
2004-01-21,20,111.813,111.67,111.149,113.267,116.906,120.677,134.87,136.422,134.974,126.614,124.262,122.606,119.34,116.038,113.252,111.281,111.818,123.004,131.365,130.873,128.237,123.156,118.405,109.717
2004-01-22,20,104.009,102.262,100.436,100.712,103.294,107.568,122.921,127.6,116.432,111.694,108.453,105.32,103.041,100.076,97.331,96.676,103.299,115.095,121.586,121.027,119.934,115.542,113.277,106.726
2004-01-23,20,103.209,103.392,103.587,106.26,111.241,116.952,133.741,139.698,129.873,122.387,115.608,108.912,103.913,100.208,98.904,99.032,103.867,113.768,117.832,115.553,113.467,110.034,108.275,102.039
2004-01-24,20,96.64,94.506,93.404,93.242,94.56,95.315,100.362,106.919,112.601,113.509,108.713,103.408,100.752,97.495,94.62,94.557,97.946,107.163,112.364,112.576,111.926,110.904,111.262,107.193
