datetime,zone_id,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
2004-01-01,17,30.645,30.461,30.197,30.264,30.907,31.617,33.22,34.531,34.837,33.418,31.209,29.246,27.804,26.495,25.367,24.799,26.536,30.565,32.641,33.121,33.466,32.479,31.323,29.135
2004-01-02,17,27.257,26.195,25.831,25.764,26.426,27.447,30.059,31.034,31.303,32.152,32.106,30.937,30.209,29.834,28.14,27.607,28.154,31.197,32.697,32.751,32.755,32.355,31.916,29.887
2004-01-03,17,28.385,27.242,26.56,26.608,26.892,27.272,28.643,29.07,30.341,29.871,28.31,26.982,25.08,23.909,23.244,22.96,23.315,25.936,27.609,27.27,26.908,25.846,25.132,23.001
2004-01-04,17,20.661,19.489,19.016,18.851,19.076,19.173,20.482,22.312,24.782,25.729,25.523,24.181,23.81,23.806,23.614,23.18,23.671,26.772,28.563,28.427,27.718,25.863,24.082,22.158
2004-01-05,17,21.056,19.923,19.564,19.675,20.553,23.307,28.674,28.331,26.637,26.548,26.268,25.799,25.56,25.155,25.042,25.462,26.903,30.21,31.467,31.147,30.46,28.885,27.267,24.539
2004-01-06,17,22.791,22.331,22.898,23.817,25.37,28.995,35.695,36.401,34.745,32.434,31.061,30.035,29.053,28.545,27.69,28.226,30.978,36.835,40.296,41.084,42.089,40.776,40.35,38.605
2004-01-07,17,38.102,38.128,38.393,39.091,41.394,45.054,50.71,49.122,45.845,44.441,41.942,39.999,37.685,36.422,35.607,36.579,40.425,45.104,46.772,47.052,47.871,46.292,45.275,42.723
2004-01-08,17,41.632,41.065,40.679,40.876,41.99,44.619,50.52,49.18,45.68,42.98,39.504,36.892,34.799,34.808,35.148,35.925,37.37,41.879,43.958,43.883,43.853,42.498,41.299,38.268
2004-01-09,17,36.899,35.957,35.822,35.984,37.374,39.581,44.763,43.945,42.06,41.547,41.171,40.377,38.658,37.958,39.586,40.417,41.816,41.775,44.754,45.247,44.474,43.345,43.18,41.887
2004-01-10,17,41.193,41.253,41.597,42.134,43.823,44.532,47.122,49.572,51.426,52.699,52.383,49.511,46.594,44.168,42.45,42.095,44.007,48.089,50.203,50.624,50.725,50.847,51.231,49.542
2004-01-11,17,48.847,49.062,49.377,50.596,51.335,52.031,53.894,56.372,56.349,51.993,47.435,44.492,41.373,39.474,37.548,37.505,39.365,43.474,45.386,45.604,45.77,44.901,44.379,42.328
2004-01-12,17,40.914,40.44,39.942,40.088,41.197,43.572,48.438,47.319,43.848,40.12,36.837,34.961,32.539,30.814,29.665,29.202,30.533,35.273,38.217,38.741,38.751,37.504,36.887,34.77
2004-01-13,17,33.984,34.399,35.455,36.537,38.27,41.758,47.066,46.06,41.927,36.826,34.687,32.086,30.185,29.011,28.187,28.046,29.223,33.447,36.688,37.33,37.098,36.279,35.575,33.502
2004-01-14,17,32.341,32.847,33.481,34.429,36.647,39.868,45.281,45.565,42.349,38.112,35.645,33.638,31.853,30.347,30.041,30.336,32.96,37.84,40.535,41.274,41.454,40.876,38.963,36.26
2004-01-15,17,33.985,33.014,32.375,32.115,33.994,36.451,41.32,40.858,38.593,37.314,34.733,33.745,33.029,32.416,31.584,31.919,34.497,39.323,42.555,43.675,44.156,43.789,43.022,41.34
2004-01-16,17,40.061,40.045,40.416,41.367,43.109,45.756,51.698,50.869,47.936,45.288,42.313,40.141,37.974,36.615,35.948,35.935,38.251,42.342,44.268,44.276,44.783,44.481,44.708,43.506
2004-01-17,17,43.008,42.098,41.974,42.697,43.655,43.951,46.269,48.33,48.495,45.734,42.458,39.301,35.615,34.097,33.37,33.342,34.529,37.047,37.716,37.215,36.094,35.036,34.315,31.811
2004-01-18,17,30.54,30.162,30.326,30.433,30.871,30.98,32.378,34.866,37.301,38.052,36.964,36.044,35.518,34.525,34.117,33.485,33.847,34.93,35.698,35.484,35.325,34.202,34.331,33.25
2004-01-19,17,33.121,33.464,34.237,35.634,37.313,39.367,42.966,44.953,45.478,44.167,41.417,38.975,36.943,35.003,33.951,33.949,36.221,41.467,44.589,45.446,45.811,44.59,44.054,42.061
