,datetime,zone_id,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
8250,2004-01-01,6.0,133.088,129.909,125.717,124.162,125.32,128.558,134.526,140.593,149.131,151.466,154.523,153.673,149.849,140.72,134.54,133.465,142.383,164.093,167.029,165.945,162.126,155.197,145.018,134.36
8251,2004-01-02,6.0,129.356,127.985,127.9,129.137,131.714,143.025,155.296,169.714,178.553,185.717,185.481,182.652,177.346,171.757,165.004,159.076,164.546,181.183,182.141,178.791,174.563,166.209,155.58,144.824
8252,2004-01-03,6.0,135.832,129.717,128.887,126.234,129.022,133.044,140.902,151.04,160.499,165.966,165.048,161.086,153.515,146.731,141.227,139.341,144.866,158.19,160.026,155.212,151.449,144.783,135.404,124.183
8253,2004-01-04,6.0,112.912,108.978,106.897,104.86,105.951,107.414,114.449,125.231,137.091,147.104,145.666,144.249,145.924,143.676,144.951,147.298,156.525,168.813,170.52,167.255,164.056,157.71,145.596,134.173
8254,2004-01-05,6.0,129.493,127.63,128.286,132.237,136.488,153.298,179.759,191.699,189.608,188.735,190.366,186.468,185.786,184.498,181.115,180.99,185.692,201.541,206.977,205.767,200.838,192.383,179.008,165.664
8255,2004-01-06,6.0,159.44,159.337,158.598,160.517,167.061,184.16,209.593,222.17,214.484,212.35,209.489,204.751,203.443,201.942,199.916,200.24,211.44,239.165,245.175,245.957,242.675,236.011,223.738,211.664
8256,2004-01-07,6.0,208.885,208.883,209.359,213.597,220.461,237.208,263.209,271.424,258.643,249.818,243.903,235.61,228.43,222.84,218.913,220.267,228.173,254.457,254.193,254.834,253.161,240.726,225.693,211.903
8257,2004-01-08,6.0,209.62,207.493,208.146,210.452,217.205,233.413,256.028,268.282,255.925,245.375,235.714,229.263,226.41,224.06,222.447,223.063,229.512,242.809,242.824,240.466,233.967,220.921,204.757,190.501
8258,2004-01-09,6.0,183.188,178.789,179.619,180.57,187.994,201.717,222.525,231.944,233.119,232.764,228.69,224.606,218.779,215.896,210.948,212.239,214.08,234.57,238.186,236.139,233.629,230.932,225.0,213.798
8259,2004-01-10,6.0,211.123,211.372,213.898,216.512,220.851,230.427,240.579,252.219,263.386,262.751,262.032,246.045,236.091,226.864,220.386,217.034,225.267,247.91,251.354,247.763,247.243,242.766,233.542,221.939
8260,2004-01-11,6.0,217.959,216.345,217.149,218.768,221.202,230.36,238.745,250.652,258.136,251.31,238.096,229.893,221.827,208.017,202.047,205.747,213.556,228.976,229.455,227.739,223.84,213.068,199.275,185.357
8261,2004-01-12,6.0,180.551,175.885,178.558,181.919,189.585,204.587,229.83,239.97,224.079,214.49,207.57,199.143,195.405,190.124,186.771,187.653,193.518,208.829,214.639,211.888,205.874,195.431,181.384,164.905
8262,2004-01-13,6.0,161.222,158.193,160.655,162.958,173.44,189.621,215.69,229.553,216.709,204.921,195.355,190.356,190.123,187.847,185.676,185.612,195.433,217.439,223.831,223.151,221.329,209.919,197.407,184.605
8263,2004-01-14,6.0,179.719,179.108,178.791,181.196,190.285,202.983,229.187,243.289,228.813,220.333,214.232,209.903,206.012,201.43,199.343,203.011,211.143,229.069,232.784,230.993,229.151,212.904,198.757,183.854
8264,2004-01-15,6.0,178.019,176.383,175.978,179.218,184.967,199.518,221.624,238.534,235.402,231.485,222.525,217.083,211.769,215.44,204.191,207.073,217.223,239.662,251.552,251.171,250.536,243.227,233.053,218.976
8265,2004-01-16,6.0,215.404,218.555,218.923,222.317,231.666,246.872,269.86,283.156,272.81,262.995,255.437,245.74,240.163,228.896,225.528,221.373,226.076,246.915,253.881,249.725,246.86,240.569,228.638,214.691
8266,2004-01-17,6.0,208.964,204.666,202.871,203.07,207.684,212.081,220.798,232.792,239.127,238.281,232.622,223.328,214.582,206.514,202.031,204.293,209.958,222.526,220.684,215.091,209.763,200.674,189.517,175.962
8267,2004-01-18,6.0,165.29,163.383,161.232,159.406,160.015,164.431,169.365,179.543,194.191,204.324,204.737,201.581,198.055,194.262,193.085,191.534,198.034,209.25,211.379,208.224,207.768,202.864,197.158,187.03
8268,2004-01-19,6.0,184.516,184.259,186.678,189.151,199.835,213.896,231.799,247.184,249.372,248.22,246.386,238.814,233.478,225.428,222.899,222.452,232.536,256.332,262.434,263.545,255.795,243.699,233.656,219.065
8269,2004-01-20,6.0,211.695,210.588,209.371,212.226,218.394,235.138,256.881,269.521,261.386,252.658,242.667,238.887,229.246,225.355,221.307,216.074,225.084,251.957,260.292,261.526,256.193,246.96,232.986,219.384
