,datetime,zone_id,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
16500,2004-01-01,11.0,90.7,86.699,84.243,84.285,86.087,90.21,94.57,98.218,102.024,102.475,101.584,98.486,93.564,88.504,84.515,83.058,88.223,105.06,111.298,112.727,111.613,107.922,101.511,93.204
16501,2004-01-02,11.0,86.863,82.206,79.782,78.682,80.051,84.357,91.493,97.086,101.162,103.712,103.764,101.208,97.02,92.609,88.539,87.915,91.545,104.791,110.244,108.872,105.982,101.911,96.044,88.41
16502,2004-01-03,11.0,81.086,76.698,74.841,73.881,74.173,77.366,81.81,87.559,95.14,99.414,96.469,90.474,84.385,78.8,74.594,74.288,77.706,89.447,93.337,90.89,88.965,83.052,77.13,69.546
16503,2004-01-04,11.0,62.297,57.787,55.766,55.201,55.448,57.634,61.407,67.756,77.099,83.513,84.111,81.134,79.5,77.07,74.908,74.347,78.905,93.098,96.569,95.187,91.364,83.8,74.265,65.933
16504,2004-01-05,11.0,60.178,57.927,57.647,59.555,61.688,70.885,90.505,97.01,92.962,91.981,92.376,92.197,90.556,90.865,90.067,91.681,97.946,109.209,115.059,112.338,108.537,101.406,92.358,83.658
16505,2004-01-06,11.0,78.926,78.888,79.848,82.062,85.962,95.924,116.25,124.219,115.977,109.505,106.365,103.814,99.019,98.304,96.373,99.072,107.34,124.897,136.732,139.78,139.549,134.886,127.305,119.885
16506,2004-01-07,11.0,115.429,115.935,117.496,120.346,124.957,135.989,157.332,155.826,151.688,147.577,142.099,136.534,130.68,128.293,125.555,127.318,135.897,152.323,153.288,152.106,154.411,149.544,139.005,129.602
16507,2004-01-08,11.0,124.02,122.548,123.438,125.195,128.604,137.818,157.278,154.876,145.796,138.28,132.333,128.333,120.601,119.288,118.074,121.266,126.337,139.721,145.677,144.7,140.883,132.967,122.314,111.885
16508,2004-01-09,11.0,104.924,102.391,101.572,102.325,105.236,114.611,132.736,138.508,133.261,130.667,129.335,123.635,119.697,117.638,117.332,119.891,126.423,140.333,147.146,148.674,148.639,146.945,143.851,139.53
16509,2004-01-10,11.0,137.056,137.821,140.843,144.66,149.219,157.091,165.78,175.858,186.291,184.07,178.086,171.411,163.05,154.476,148.61,147.991,155.263,171.174,169.843,168.259,171.556,170.493,164.421,158.166
16510,2004-01-11,11.0,153.405,151.27,151.35,153.017,155.136,157.446,165.985,173.347,176.778,168.899,158.273,148.196,139.505,133.089,127.307,126.527,134.024,148.938,154.811,153.221,150.196,142.592,131.239,120.26
16511,2004-01-12,11.0,113.465,111.108,110.262,110.082,111.617,120.271,140.557,146.592,137.437,127.939,121.396,115.289,107.468,104.836,102.275,102.897,109.417,122.074,127.135,126.479,122.587,114.54,104.591,95.62
